Номер внутри района	Название	Другие названия	Высота	Кат. трудн.	Характер	Что соединяет	Координаты WGS84	Руководитель, год прохождения	Примечание
1.1	Аболина		3550	2А	ос-лд	р. Водопадная - В. камера лед. Аболина			
1.2	Аболина		3800	3А		лед. №278 (р. Водопадная, р.Кора) - З. камера лед. Аболина (р. Урман-Биен)			
1.3	Академика Б.Н.Петрова		3650	2Б	ос-лд	лед. Тронова - Нижн. камера лед. Безсонова			
1.4	Аксу		3600	2А	лд-сн	лед. №121 (р. Карангсай) - лед. №54			
1.5	Ак-Эмель		3600	2А	лд	лед. №54 (исток р. Аксу) - р. Болотистая			
1.6	Алма-Ата		3730	1Б*		лед. Сапожникова (р. Кора) - лед. №168 (р. Коржун)			
1.7	Виталия Абалакова		3730	2Б	сн-лд-ос	лед. Хейердала (№16) - р. Орта-Биен - лед. №280 (р. Южная, р. Кора)			
1.8	Востоковедов		3500	1Б	ос-лд	р. Водопадная - лед. №166			
1.9	Горной секции		3380	2А	лд-ос	В. камера лед. Аболина - лед. №161			
1.10	Демекпе		3630	1Б*	ос	Л. исток р. Демекпе (р. Караарык) - 1-й исток р. Демекпе (р. Аксу)			
1.11	Макаревича		3850	2А	ос-лд	лед. Аболина - лед. Макаревича			
1.12	Мынчукыр		2900	н/к	ск-тр-ос	П. исток Л. притока р. Кызылагаш - р. Кора			Весной 1А
1.13	Обходной		3710	2А	ск-лд	р. Южная (р. Кора) - лед. №19 (р. Урман-Биен)			Через пер.Хейердала
1.14	Сергея Бугаева		3700	2Б		лед. Капальский (р. Бургут-Биен) - лед. Биенский (р. Бургут-Биен)			
1.15	Сапожникова		3610	1Б	сн-ос	лед. Сапожникова (р. Кора) - Л. приток р. Аюсай			
1.16	Сибирский		"3700
123"	2А		лед. №235 (р. Cалдыртас) - лед. №227 (р. Асальбайсай)			
1.17	Скандальный		3600	1Б		лед. Биенский (р. Бургут-Биен) - лед. Хейердала (р. Орта-Биен)			
1.18	Советских пограничников		3450	1Б*	лд	Л. исток р. Лагерной - лед. №81 (р. Волчья)			
1.19	Сокол		3850	2Б	ск	П. приток р. Айдаусай - Л. приток р. Майтас			
1.20	Танюша		3810	2Б	лд-ск	лед. №166 (главный исток р. Коржун) - лед. Аболина (№20) (р. Урман-Биен)			
1.21	Туристов		3950	1Б	ос-сн	лед. Шульца - лед. Туристов			
1.22	Турклуба 'Альтаир'		3860	2Б	лд-ск	лед. №19 (р. Урман-Биен) - лед. №279 (р. Южная, р. Кора)			
1.23	Хейердала		3650	2Б	лд-ос	р. Южная (р. Кора), лед. №279 - лед. Хейердала			
1.24	Чуку-Блок		3300	1Б		лед. Капальский (р. Бургут-Биен) - р. Чуку-Блок (р. Кора)			
1.25	60-лет Казахстана		3650	2А	ск-лд	лед. №122 (Л. исток р. Карангсай) - лед. Ажар			